zip,type,primary_city,acceptable_cities,unacceptable_cities,state,county,timezone,area_codes,latitude,longitude,world_region,country,decommissioned,estimated_population,notes
94960,STANDARD,San Anselmo,,,CA,Marin County,America/Los_Angeles,415,37.99,-122.58,NA,US,0,12561,
94963,PO BOX,San Geronimo,,,CA,Marin County,America/Los_Angeles,415,38.02,-122.63,NA,US,0,485,
94964,PO BOX,San Quentin,,,CA,Marin County,America/Los_Angeles,415,37.94,-122.49,NA,US,0,0,
94965,STANDARD,Sausalito,Muir Beach,Marin City,CA,Marin County,America/Los_Angeles,415,37.84,-122.53,NA,US,0,9393,
94966,PO BOX,Sausalito,,,CA,Marin County,America/Los_Angeles,415,37.86,-122.49,NA,US,0,831,
94970,STANDARD,Stinson Beach,,,CA,Marin County,America/Los_Angeles,415,37.91,-122.66,NA,US,0,583,
94971,PO BOX,Tomales,,,CA,Marin County,America/Los_Angeles,"707,415",38.24,-122.9,NA,US,0,0,
94972,STANDARD,Valley Ford,,,CA,Sonoma County,America/Los_Angeles,707,38.29,-122.94,NA,US,0,0,
94973,PO BOX,Woodacre,,,CA,Marin County,America/Los_Angeles,415,38,-122.64,NA,US,0,1339,
94974,STANDARD,San Quentin,,,CA,Marin County,America/Los_Angeles,415,37.95,-122.54,NA,US,0,0,
94975,PO BOX,Petaluma,,,CA,Sonoma County,America/Los_Angeles,707,38.32,-122.64,NA,US,0,747,
94976,PO BOX,Corte Madera,,,CA,Marin County,America/Los_Angeles,415,37.92,-122.52,NA,US,0,365,
94977,PO BOX,Larkspur,,,CA,Marin County,America/Los_Angeles,415,37.93,-122.53,NA,US,0,381,
94978,PO BOX,Fairfax,,,CA,Marin County,America/Los_Angeles,415,37.98,-122.58,NA,US,0,526,
94979,PO BOX,San Anselmo,,,CA,Marin County,America/Los_Angeles,415,37.97,-122.56,NA,US,0,493,
94998,UNIQUE,Novato,,Firemans Fund Ins,CA,Marin County,America/Los_Angeles,415,38.1,-122.57,NA,US,0,0,
94999,STANDARD,Petaluma,,,CA,Sonoma County,America/Los_Angeles,707,38.32,-122.64,NA,US,0,0,
95001,PO BOX,Aptos,,,CA,Santa Cruz County,America/Los_Angeles,408,36.97,-121.89,NA,US,0,1526,
95002,PO BOX,Alviso,,,CA,Santa Clara County,America/Los_Angeles,408,37.44,-121.99,NA,US,0,1749,
95003,STANDARD,Aptos,,"Rio Del Mar, Seacliff, Seascape",CA,Santa Cruz County,America/Los_Angeles,"831,408",37,-121.87,NA,US,0,18954,
95005,STANDARD,Ben Lomond,,,CA,Santa Cruz County,America/Los_Angeles,"831,408",37.1,-122.08,NA,US,0,5137,
95006,STANDARD,Boulder Creek,,Big Basin,CA,Santa Cruz County,America/Los_Angeles,"831,408",37.16,-122.15,NA,US,0,7182,
95007,PO BOX,Brookdale,,,CA,Santa Cruz County,America/Los_Angeles,831,37.1,-122.11,NA,US,0,647,
95008,STANDARD,Campbell,,,CA,Santa Clara County,America/Los_Angeles,408,37.28,-121.95,NA,US,0,36168,
95009,PO BOX,Campbell,,,CA,Santa Clara County,America/Los_Angeles,408,37.28,-121.94,NA,US,0,497,
95010,STANDARD,Capitola,,,CA,Santa Cruz County,America/Los_Angeles,"408,831",36.97,-121.95,NA,US,0,7918,
95011,PO BOX,Campbell,,,CA,Santa Clara County,America/Los_Angeles,408,37.29,-121.95,NA,US,0,1102,
95013,PO BOX,Coyote,,,CA,Santa Clara County,America/Los_Angeles,408,37.2,-121.72,NA,US,0,0,
95014,STANDARD,Cupertino,"Monte Vista, Permanente",,CA,Santa Clara County,America/Los_Angeles,"408,650",37.3,-122.09,NA,US,0,51349,
95015,PO BOX,Cupertino,,,CA,Santa Clara County,America/Los_Angeles,408,37.32,-122.05,NA,US,0,1709,
95017,STANDARD,Davenport,,,CA,Santa Cruz County,America/Los_Angeles,831,37.09,-122.24,NA,US,0,718,
95018,STANDARD,Felton,,Lompico,CA,Santa Cruz County,America/Los_Angeles,831,37.08,-122.05,NA,US,0,6114,
95019,STANDARD,Freedom,,,CA,Santa Cruz County,America/Los_Angeles,831,36.93,-121.78,NA,US,0,7068,
95020,STANDARD,Gilroy,,,CA,Santa Clara County,America/Los_Angeles,"408,805",37.06,-121.55,NA,US,0,41952,
95021,PO BOX,Gilroy,,,CA,Santa Clara County,America/Los_Angeles,408,37.01,-121.55,NA,US,0,2725,
95023,STANDARD,Hollister,,,CA,San Benito County,America/Los_Angeles,"408,831",36.89,-121.24,NA,US,0,35971,
95024,PO BOX,Hollister,,,CA,San Benito County,America/Los_Angeles,831,36.84,-121.39,NA,US,0,2447,
95026,PO BOX,Holy City,,,CA,Santa Clara County,America/Los_Angeles,,37.15,-121.98,NA,US,0,0,
