5667,Gunderson High School,9-12,public,95136
13372,Eureka Learning Center,K,private,94114
13627,Bay Area Technology School,6-12,charter,94605
30954,Infant And Preschool Program,1,public,94606
12896,Monarch Christian School,PK-4,private,95035
3459,San Jose Middle School,6-8,public,94947
11077,San Benito County Opportunity School,7-9,public,95023
5632,C. W. Haman Elementary School,K-5,public,95050
5557,Joseph Weller Elementary School,K-6,public,95035
5651,Booksin Elementary School,K-5,public,95125
5452,Apollo High School,11-12,public,95122
3534,Vintage High School,9-12,public,94558
17626,Mossdale Elementary School,K-8,public,95330
11682,Altamont Creek Elementary School,K-5,public,94551
6582,Wagner-Holt Elementary School,K-6,public,95209
16637,Martha Williams School,8-12,private,94401
12495,San Mateo County Special Education School,K-12,public,94065
9654,The Crowden School,4-8,private,94702
8125,St. Peter's School,K-8,private,94110
23783,Mills Academy,2-12,private,94539
8146,Marin Catholic High School,9-12,private,94904
5627,Bracher Elementary School,K-5,public,95051
99,Patterson Elementary School,K-6,public,94536
495,Riverview Middle School,6-8,public,94565
6372,Giannini (A.P.) Middle School,6-8,public,94122
15037,Hercules Middle School,6-8,public,94547
15028,Rise Community School,K-5,public,94621
15862,Mosaic Christian,1-12,private,94803
16655,Almaden Valley Christian,K-12,private,95037
24374,Irene M. Hunt School Of Marin (Formerly Marin Academic Center) / Sunny Hills Services,K-11,private,94960
15866,Spectrum Center-Sequoia Campus,6-8,private,94523
6341,Bryant Elementary School,K-5,public,94110
55,Dublin Elementary School,PK-5,public,94568
5596,Parkview Elementary School,K-6,public,95136
24410,New Directions Adolescent Services,7-12,private,94927
13873,Cesar Chavez High School,9-12,public,95212
13397,Happy Days CDC,K,private,95051
17417,Bayhill High School,9-12,private,94610
6359,Downtown High School,9-12,public,94107
5461,Pegasus High School,11-12,public,95133
108,Bowman Elementary School,K-6,public,94544
11425,Jim Elliot Christian High School,9-12,private,95242
7132,Corona Creek Elementary School,K-6,public,94954
3454,Novato Charter School,K-8,charter,94949
8434,St George Parish School,K-8,private,95206
2,Bay Farm,K-8,public,94502
10161,Via Center,K-12,private,94710
13294,Soloquest School & Learning Center,10-12,private,95476
26348,Girls' Middle School, The,6-8,private,94303
6539,Brookside School,K-8,public,95219
6740,Beverly Hills Elementary School,K-5,public,94591
5400,Ruskin Elementary School,K-5,public,95132
11468,Our Shepherd's Academy,2, 4-5, 7, 9-11,private,95118
5449,Stevens Creek Elementary School,K-5,public,95014
11913,Urban Promise Academy,6-8,public,94601
