#ZIP,Latitude,Longitude,City,County,Estimated_Population
95109,37.33,-121.89,San Jose,Santa Clara County,873
95110,37.34,-121.9,San Jose,Santa Clara County,12621
95111,37.28,-121.83,San Jose,Santa Clara County,43578
95112,37.34,-121.88,San Jose,Santa Clara County,34111
95113,37.33,-121.89,San Jose,Santa Clara County,1049
95115,37.3,-121.89,San Jose,Santa Clara County,0
95116,37.35,-121.85,San Jose,Santa Clara County,35357
95117,37.31,-121.96,San Jose,Santa Clara County,22030
95118,37.25,-121.88,San Jose,Santa Clara County,26249
95119,37.22,-121.78,San Jose,Santa Clara County,8171
95120,37.19,-121.83,San Jose,Santa Clara County,33486
95121,37.3,-121.8,San Jose,Santa Clara County,30427
95122,37.33,-121.83,San Jose,Santa Clara County,41936
95123,37.23,-121.82,San Jose,Santa Clara County,50481
95124,37.25,-121.92,San Jose,Santa Clara County,39234
95125,37.29,-121.88,San Jose,Santa Clara County,41048
95126,37.32,-121.91,San Jose,Santa Clara County,23076
95127,37.37,-121.75,San Jose,Santa Clara County,46641
95128,37.31,-121.93,San Jose,Santa Clara County,25327
95129,37.3,-122,San Jose,Santa Clara County,32839
95130,37.28,-121.98,San Jose,Santa Clara County,10841
95131,37.38,-121.9,San Jose,Santa Clara County,24403
95132,37.42,-121.77,San Jose,Santa Clara County,34344
95133,37.37,-121.86,San Jose,Santa Clara County,20337
95134,37.42,-121.94,San Jose,Santa Clara County,12670
95135,37.25,-121.67,San Jose,Santa Clara County,17221
95136,37.27,-121.84,San Jose,Santa Clara County,35078
95138,37.24,-121.73,San Jose,Santa Clara County,15421
95139,37.21,-121.75,San Jose,Santa Clara County,5634
95140,37.36,-121.67,Mount Hamilton,Santa Clara County,0
95141,37.17,-121.75,San Jose,Santa Clara County,0
95148,37.33,-121.77,San Jose,Santa Clara County,37541
95150,37.29,-121.91,San Jose,Santa Clara County,1217
95151,37.29,-121.78,San Jose,Santa Clara County,1597
95152,37.41,-121.82,San Jose,Santa Clara County,448
95153,37.24,-121.84,San Jose,Santa Clara County,744
95154,37.26,-121.91,San Jose,Santa Clara County,491
95155,37.31,-121.9,San Jose,Santa Clara County,0
95156,37.35,-121.84,San Jose,Santa Clara County,790
95157,37.3,-121.97,San Jose,Santa Clara County,597
95158,37.26,-121.87,San Jose,Santa Clara County,556
95159,37.31,-121.93,San Jose,Santa Clara County,1393
95160,37.21,-121.86,San Jose,Santa Clara County,424
95161,37.38,-121.89,San Jose,Santa Clara County,1275
95164,37.39,-121.92,San Jose,Santa Clara County,819
95170,37.31,-122,San Jose,Santa Clara County,0
95172,37.33,-121.88,San Jose,Santa Clara County,0
95173,37.33,-121.89,San Jose,Santa Clara County,833
95190,37.37,-121.9,San Jose,Santa Clara County,0
95191,37.32,-121.91,San Jose,Santa Clara County,0
95192,37.34,-121.89,San Jose,Santa Clara County,0
95193,37.24,-121.83,San Jose,Santa Clara County,0
95194,37.34,-121.88,San Jose,Santa Clara County,0
95196,37.33,-121.89,San Jose,Santa Clara County,0
95201,37.9,-121.22,Stockton,San Joaquin County,951
95202,37.95,-121.28,Stockton,San Joaquin County,3036
95203,37.95,-121.32,Stockton,San Joaquin County,9689
95204,37.97,-121.32,Stockton,San Joaquin County,19838
95205,37.96,-121.26,Stockton,San Joaquin County,24135
95206,37.9,-121.4,Stockton,San Joaquin County,44874
95207,38,-121.32,Stockton,San Joaquin County,31668
95208,37.95,-121.43,Stockton,San Joaquin County,781
95209,38.04,-121.35,Stockton,San Joaquin County,29459
95210,38.02,-121.3,Stockton,San Joaquin County,25741
95211,37.98,-121.3,Stockton,San Joaquin County,0
95212,38.04,-121.2,Stockton,San Joaquin County,18519
95213,37.95,-121.43,Stockton,San Joaquin County,899
95215,37.95,-121.12,Stockton,San Joaquin County,15614
95219,38.01,-121.38,Stockton,San Joaquin County,21236
95220,38.19,-121.25,Acampo,San Joaquin County,5450
95227,38.21,-121.03,Clements,San Joaquin County,888
95231,37.86,-121.29,French Camp,San Joaquin County,3106
95234,37.93,-121.42,Holt,San Joaquin County,0
95236,38.05,-121.03,Linden,San Joaquin County,4764
95237,38.17,-121.13,Lockeford,San Joaquin County,3187
95240,38.11,-121.16,Lodi,San Joaquin County,30585
95241,38.15,-121.3,Lodi,San Joaquin County,2197
95242,38.13,-121.39,Lodi,San Joaquin County,20643
95253,38.14,-121.2,Victor,San Joaquin County,741
95258,38.16,-121.29,Woodbridge,San Joaquin County,4461
95267,38,-121.31,Stockton,San Joaquin County,723
95269,38.01,-121.32,Stockton,San Joaquin County,1714
95296,38.02,-121.3,Stockton,San Joaquin County,0
95297,37.96,-121.3,Stockton,San Joaquin County,0
95304,37.69,-121.39,Tracy,San Joaquin County,8986
95320,37.83,-121.03,Escalon,San Joaquin County,10192
95330,37.82,-121.29,Lathrop,San Joaquin County,13248
95336,37.83,-121.18,Manteca,San Joaquin County,33056
95337,37.73,-121.24,Manteca,San Joaquin County,22663
95366,37.75,-121.12,Ripon,San Joaquin County,13598
95376,37.73,-121.42,Tracy,San Joaquin County,38068
95377,37.62,-121.45,Tracy,San Joaquin County,23164
95378,37.8,-121.55,Tracy,San Joaquin County,1002
95391,37.76,-121.63,Tracy,San Joaquin County,7031
95401,38.44,-122.78,Santa Rosa,Sonoma County,26704
95402,38.47,-122.6,Santa Rosa,Sonoma County,3300
95403,38.5,-122.76,Santa Rosa,Sonoma County,33257
95404,38.45,-122.68,Santa Rosa,Sonoma County,29799
95405,38.43,-122.67,Santa Rosa,Sonoma County,18155
95406,38.45,-122.72,Santa Rosa,Sonoma County,849
95407,38.39,-122.75,Santa Rosa,Sonoma County,26764
95409,38.45,-122.59,Santa Rosa,Sonoma County,21790
95412,38.71,-123.33,Annapolis,Sonoma County,0
95416,38.31,-122.48,Boyes Hot Springs,Sonoma County,2731
95419,38.42,-122.95,Camp Meeker,Sonoma County,0
95421,38.56,-123.2,Cazadero,Sonoma County,1034
95425,38.78,-122.92,Cloverdale,Sonoma County,8841
95430,38.44,-123.05,Duncans Mills,Sonoma County,0
95431,38.34,-122.51,Eldridge,Sonoma County,0
