ZIP, City, County, State, Year_1996, Year_1997, Year_1998, Year_1999, Year_2000, Year_2001, Year_2002, Year_2003, Year_2004, Year_2005, Year_2006, Year_2007, Year_2008, Year_2009, Year_2010, Year_2011, Year_2012, Year_2013, Year_2014, Year_2015
95203, Stockton, San Joaquin, CA, 75987.18, 89628.21, 70330.51, 79445.57, 95694.25, 125151.12, 145684.08, 167819.87, 204442.18, 281034.43, 293399.30, 275000.00, NA, NA, NA, 68989.44, NA, 68500.00, 39000.00, 145000.00
94618, Oakland, Alameda, CA, 281581.25, 278463.64, 284120.00, 339627.27, 497304.55, 517655.03, 607666.67, 588465.36, 747578.32, 794242.60, 834033.33, 786601.48, 834646.51, 749864.32, 819161.11, 753134.50, 765098.79, 799154.10, 900885.26, 1016470.59
95032, Los Gatos, Santa Clara, CA, 352341.67, 410745.83, 485868.75, 516050.00, 652958.33, 694739.72, 679141.67, 655631.25, 781493.75, 863291.67, 936695.83, 1095054.62, 1139631.31, 957377.14, 929375.00, 966958.33, 954533.93, 1070029.17, 1222729.17, 1397950.00
95212, Stockton, San Joaquin, CA, NA, 195000.00, NA, 155000.00, 185558.82, 226065.93, 245641.67, 297402.39, 334275.88, 427279.17, 467987.50, 455586.54, 247889.14, 208561.40, 190874.31, 182375.00, 181731.80, 216381.98, 271343.89, 275128.11
94015, Daly City, San Mateo, CA, 222405.56, 230445.83, 254704.17, 303916.67, 366837.50, 415187.50, 446787.50, 494258.33, 576350.00, 674750.00, 707791.67, 699583.33, 579573.75, 514392.92, 517687.50, 464500.00, 442417.68, 592241.75, 650470.83, 588287.50
94014, Daly City, San Mateo, CA, 194825.00, 197962.50, 229893.75, 264733.33, 331847.92, 398866.67, 421175.00, 472658.33, 552612.50, 651958.33, 688427.08, 666229.55, 532369.49, 452053.07, 462667.02, 406747.02, 414278.68, 505545.44, 613192.19, 652875.00
95037, Morgan Hill, Santa Clara, CA, 299883.33, 291593.75, 305058.33, 376910.42, 466125.00, 466933.33, 501358.33, 516750.00, 610679.17, 712341.67, 799062.50, 792760.42, 673876.74, 535863.24, 566062.50, 510628.76, 530020.20, 635389.58, 684858.33, 694740.00
95134, San Jose, Santa Clara, CA, 250382.94, 250874.39, 277385.75, 310909.24, 433380.54, NA, 425629.28, 428982.81, 437487.13, 575336.60, 582333.33, 560097.29, NA, NA, NA, NA, NA, NA, NA, NA
95035, Milpitas, Santa Clara, CA, 233600.00, 243041.67, 269604.17, 309383.33, 400804.17, 422404.17, 433366.67, 439540.17, 508233.33, 611887.50, 649245.83, 568166.67, 503145.83, 416972.92, 450902.08, 422041.67, 442441.67, 573433.33, 645220.83, 701160.00
94019, Half Moon Bay, San Mateo, CA, 322294.44, 324825.00, 380862.50, 427656.25, 540229.17, 610754.17, 613043.81, 616541.67, 727195.83, 824197.76, 839081.58, 844395.94, 749018.16, 655038.24, 614093.03, 613380.80, 701999.37, 755235.65, 819903.05, 914951.09
95148, San Jose, Santa Clara, CA, 235411.11, 257383.33, 290145.83, 318837.50, 413975.00, 459825.75, 453770.83, 490879.17, 568016.67, 676175.00, 729845.83, 706238.46, 582296.22, 491614.97, 495500.00, 457941.67, 471787.50, 620526.34, 698554.83, 702450.00
94523, Pleasant Hill, Contra Costa, CA, 197372.67, 208258.33, 224837.50, 250245.83, 299237.83, 355395.83, 389425.00, 441283.33, 496604.17, 601362.50, 619250.00, 594108.33, 509074.86, 458416.32, 421464.58, 393008.33, 419299.81, 489508.33, 564062.50, 553765.00
94923, Bodega Bay, Sonoma, CA, NA, NA, 367000.00, NA, 407921.57, NA, 540000.00, NA, 804685.52, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
94521, Concord, Contra Costa, CA, 171450.00, 176508.33, 199950.00, 212116.67, 246812.50, 302645.83, 342083.33, 387916.67, 458541.67, 539875.00, 532458.33, 495187.50, 428020.83, 358875.00, 345375.00, 305083.33, 309083.33, 423191.67, 463854.17, 498680.00
95336, Manteca, San Joaquin, CA, 127641.67, 132143.75, 142518.75, 151662.50, 170739.58, 211308.33, 225304.17, 247630.61, 302384.47, 388608.33, 402108.33, 356615.00, 206637.63, 162845.92, 165727.08, 162045.83, 161433.33, 222145.83, 252672.92, 266235.00
94526, Danville, Contra Costa, CA, 340277.78, 341125.00, 375420.83, 423191.67, 500116.67, 555716.67, 598008.33, 616039.58, 719131.25, 835783.33, 853733.33, 866379.17, 862837.15, 723775.71, 708979.17, 720802.08, 691916.67, 765379.17, 913308.33, 889950.00
94158, San Francisco, San Francisco, CA, NA, NA, NA, NA, NA, NA, NA, NA, 800647.06, NA, NA, 885414.75, NA, 554276.47, 340357.06, NA, NA, NA, NA, 1300000.00
94603, Oakland, Alameda, CA, 92088.53, 97346.14, 100935.66, 114216.67, 145229.17, 187529.17, 223408.33, 262812.50, 308987.08, 382629.17, 428037.50, 418225.00, NA, 130394.12, 132589.37, 135877.27, 130174.40, 170019.42, 251963.56, 323576.92
94065, Redwood City, San Mateo, CA, 295255.56, 365220.83, 394450.00, 492941.67, 597937.50, 580186.36, 584323.50, 608295.08, 664725.00, 812457.53, 738517.65, 828539.67, 819671.49, 713629.90, 687277.68, 824072.40, 743462.10, 859916.71, 857072.62, NA
95446, Guerneville, Sonoma, CA, 117044.57, 127723.98, 133594.82, 130266.75, 171162.50, 187762.37, 241061.53, 254188.74, 309630.59, 354539.79, 367307.69, 350000.00, NA, NA, 255000.00, 200000.00, 225000.00, NA, 358750.00, NA
95472, Sebastopol, Sonoma, CA, 233263.89, 240741.46, 247083.29, 301366.67, 348041.67, 397841.67, 411783.33, 477758.33, 593411.87, 683902.51, 641906.25, 687761.36, 582277.57, 501630.88, 504666.58, 445139.89, 495353.49, 540975.69, 611687.82, 603103.92
94109, San Francisco, San Francisco, CA, 262583.33, 278458.33, 348229.17, 409145.83, 461083.33, 499666.67, 521825.00, 522535.75, 609829.17, 653762.50, 718779.17, 730235.01, 717626.54, 646405.79, 639831.25, 641626.71, 665274.90, 858377.47, 913211.74, 956250.00
94589, Vallejo, Solano, CA, 113693.79, 118847.29, 126008.33, 135458.33, 161947.92, 197568.75, 239016.67, 272066.67, 334441.67, 367647.50, 433837.50, 399450.00, NA, 135963.32, 146437.50, 130833.33, 121446.63, 170638.66, 223837.38, 253674.63
95476, Sonoma, Sonoma, CA, 199383.33, 203083.33, 221458.33, 253208.33, 318137.50, 347839.58, 375543.75, 425866.67, 506907.58, 597995.83, 624145.83, 593454.55, 524919.79, 435291.67, 438672.92, 398397.92, 390939.58, 451022.10, 520272.92, 566155.00
94028, Portola Valley, San Mateo, CA, 540000.00, NA, 1295000.00, 1233076.92, 1075000.00, NA, NA, 1405000.00, 1800000.00, 1657564.10, NA, 2027500.00, 2495000.00, NA, 1885000.00, 1680500.00, NA, NA, 2492307.69, NA
94108, San Francisco, San Francisco, CA, NA, NA, 340000.00, 274500.00, 439000.00, NA, NA, NA, 491750.00, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
