ZIP, avg_precipitation, N_avg_precipitation, renter_occupied, N_renter_occupied, earthquake_index, N_earthquake_index, pop_growth_rate, N_pop_growth_rate, avg_temperature, N_avg_temperature, poverty_Rate, N_poverty_Rate, parks, N_parks, crime_index, N_crime_index, female_labor, N_female_labor, coffeeshops, N_coffeeshops, restaurants, N_restaurants
94590, 20.39, 17.03, NA, NA, NA, NA, NA, NA, 56.39, 30.25, 22.00, 56.35, 18.00, 45.00, NA, NA, NA, NA, 1.00, 2.50, 40.00, 100.00
94591, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, 11.30, 77.58, 4.00, 10.00, NA, NA, NA, NA, 0.00, 0.00, 2.00, 5.00
94598, NA, NA, 0.30, 69.50, 48.28, 52.10, -0.00, 96.32, NA, NA, 4.60, 90.87, 0.00, 0.00, 1433.00, 76.38, 0.54, 54.10, 0.00, 0.00, 0.00, 0.00
94599, 33.79, 47.40, 0.28, 72.50, 7.09, 95.28, 0.01, 96.26, 59.17, 60.58, 5.10, 89.88, 5.00, 12.50, 734.00, 87.90, 0.40, 40.10, 0.00, 0.00, 20.00, 50.00
95071, NA, NA, 0.14, 85.60, 27.43, 73.96, 0.00, 96.28, NA, NA, NA, NA, 20.00, 50.00, 442.00, 92.71, 0.47, 46.60, 3.00, 7.50, 40.00, 100.00
94659, NA, NA, 0.53, 47.10, 66.09, 33.42, -0.02, 96.47, NA, NA, NA, NA, 40.00, 100.00, 5091.00, 16.07, 0.60, 60.50, 12.00, 30.00, 40.00, 100.00
94154, NA, NA, 0.57, 42.80, 5.93, 96.50, 0.04, 96.02, NA, NA, NA, NA, 40.00, 100.00, 2718.00, 55.19, 0.64, 64.20, 34.00, 85.00, 40.00, 100.00
94155, NA, NA, 0.57, 42.80, 5.93, 96.50, 0.04, 96.02, NA, NA, NA, NA, 0.00, 0.00, 2718.00, 55.19, 0.64, 64.20, 0.00, 0.00, 3.00, 7.50
94152, NA, NA, 0.57, 42.80, 5.93, 96.50, 0.04, 96.02, NA, NA, NA, NA, 0.00, 0.00, 2718.00, 55.19, 0.64, 64.20, 0.00, 0.00, 3.00, 7.50
94153, NA, NA, 0.57, 42.80, 5.93, 96.50, 0.04, 96.02, NA, NA, NA, NA, 40.00, 100.00, 2718.00, 55.19, 0.64, 64.20, 34.00, 85.00, 40.00, 100.00
94150, NA, NA, 0.57, 42.80, 5.93, 96.50, 0.04, 96.02, NA, NA, NA, NA, 40.00, 100.00, 2718.00, 55.19, 0.64, 64.20, 24.00, 60.00, 40.00, 100.00
94151, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, 40.00, 100.00, NA, NA, NA, NA, 34.00, 85.00, 40.00, 100.00
94158, 20.78, 17.91, 0.57, 42.80, 5.93, 96.50, 0.04, 96.02, 60.32, 73.02, 11.50, 77.18, 40.00, 100.00, 2718.00, 55.19, 0.64, 64.20, 12.00, 30.00, 40.00, 100.00
94159, NA, NA, 0.57, 42.80, 5.93, 96.50, 0.04, 96.02, NA, NA, NA, NA, 40.00, 100.00, 2718.00, 55.19, 0.64, 64.20, 11.00, 27.50, 40.00, 100.00
95688, 25.87, 29.46, NA, NA, NA, NA, NA, NA, 62.07, 92.12, 8.90, 82.34, 0.00, 0.00, NA, NA, NA, NA, 0.00, 0.00, 0.00, 0.00
